Time;z
24-Oct-2023 00:00:00;4.37
24-Oct-2023 01:00:00;4.15
24-Oct-2023 02:00:00;3.65
24-Oct-2023 03:00:00;3.02
24-Oct-2023 04:00:00;2.49
24-Oct-2023 05:00:00;2.24
24-Oct-2023 06:00:00;2.34
24-Oct-2023 07:00:00;2.7
24-Oct-2023 08:00:00;3.18
24-Oct-2023 09:00:00;3.69
24-Oct-2023 10:00:00;4.18
24-Oct-2023 11:00:00;4.58
24-Oct-2023 12:00:00;4.76
24-Oct-2023 13:00:00;4.6
24-Oct-2023 14:00:00;4.1
24-Oct-2023 15:00:00;3.34
24-Oct-2023 16:00:00;2.57
24-Oct-2023 17:00:00;2.02
24-Oct-2023 18:00:00;1.85
24-Oct-2023 19:00:00;2.07
24-Oct-2023 20:00:00;2.54
24-Oct-2023 21:00:00;3.11
24-Oct-2023 22:00:00;3.69
24-Oct-2023 23:00:00;4.21
25-Oct-2023 00:00:00;4.59
25-Oct-2023 01:00:00;4.69
25-Oct-2023 02:00:00;4.42
25-Oct-2023 03:00:00;3.79
25-Oct-2023 04:00:00;2.99
25-Oct-2023 05:00:00;2.26
25-Oct-2023 06:00:00;1.86
25-Oct-2023 07:00:00;1.92
25-Oct-2023 08:00:00;2.39
25-Oct-2023 09:00:00;3.06
25-Oct-2023 10:00:00;3.78
25-Oct-2023 11:00:00;4.42
25-Oct-2023 12:00:00;4.9
25-Oct-2023 13:00:00;5.1
25-Oct-2023 14:00:00;4.89
25-Oct-2023 15:00:00;4.26
25-Oct-2023 16:00:00;3.34
25-Oct-2023 17:00:00;2.37
25-Oct-2023 18:00:00;1.65
25-Oct-2023 19:00:00;1.42
25-Oct-2023 20:00:00;1.73
25-Oct-2023 21:00:00;2.41
25-Oct-2023 22:00:00;3.2
25-Oct-2023 23:00:00;3.94
26-Oct-2023 00:00:00;4.56
26-Oct-2023 01:00:00;4.95
26-Oct-2023 02:00:00;4.98
26-Oct-2023 03:00:00;4.57
26-Oct-2023 04:00:00;3.78
26-Oct-2023 05:00:00;2.78
26-Oct-2023 06:00:00;1.89
26-Oct-2023 07:00:00;1.42
26-Oct-2023 08:00:00;1.55
26-Oct-2023 09:00:00;2.21
26-Oct-2023 10:00:00;3.13
26-Oct-2023 11:00:00;4.02
26-Oct-2023 12:00:00;4.76
26-Oct-2023 13:00:00;5.26
26-Oct-2023 14:00:00;5.4
26-Oct-2023 15:00:00;5.06
26-Oct-2023 16:00:00;4.26
26-Oct-2023 17:00:00;3.16
26-Oct-2023 18:00:00;2.03
26-Oct-2023 19:00:00;1.23
26-Oct-2023 20:00:00;1.06
26-Oct-2023 21:00:00;1.57
26-Oct-2023 22:00:00;2.49
26-Oct-2023 23:00:00;3.48
27-Oct-2023 00:00:00;4.32
27-Oct-2023 01:00:00;4.94
27-Oct-2023 02:00:00;5.26
27-Oct-2023 03:00:00;5.15
27-Oct-2023 04:00:00;4.56
27-Oct-2023 05:00:00;3.59
27-Oct-2023 06:00:00;2.44
27-Oct-2023 07:00:00;1.46
27-Oct-2023 08:00:00;1.02
27-Oct-2023 09:00:00;1.32
27-Oct-2023 10:00:00;2.23
27-Oct-2023 11:00:00;3.35
27-Oct-2023 12:00:00;4.36
27-Oct-2023 13:00:00;5.11
27-Oct-2023 14:00:00;5.56
27-Oct-2023 15:00:00;5.57
27-Oct-2023 16:00:00;5.06
27-Oct-2023 17:00:00;4.09
27-Oct-2023 18:00:00;2.84
27-Oct-2023 19:00:00;1.64
27-Oct-2023 20:00:00;0.88
27-Oct-2023 21:00:00;0.87
27-Oct-2023 22:00:00;1.64
27-Oct-2023 23:00:00;2.78
28-Oct-2023 00:00:00;3.88
28-Oct-2023 01:00:00;4.72
28-Oct-2023 02:00:00;5.27
28-Oct-2023 03:00:00;5.45
28-Oct-2023 04:00:00;5.15
28-Oct-2023 05:00:00;4.39
28-Oct-2023 06:00:00;3.27
28-Oct-2023 07:00:00;2.04
28-Oct-2023 08:00:00;1.08
28-Oct-2023 09:00:00;0.77
28-Oct-2023 10:00:00;1.31
28-Oct-2023 11:00:00;2.45
28-Oct-2023 12:00:00;3.69
28-Oct-2023 13:00:00;4.7
28-Oct-2023 14:00:00;5.4
28-Oct-2023 15:00:00;5.72
28-Oct-2023 16:00:00;5.55
28-Oct-2023 17:00:00;4.86
28-Oct-2023 18:00:00;3.77
28-Oct-2023 19:00:00;2.46
28-Oct-2023 20:00:00;1.29
28-Oct-2023 21:00:00;0.68
28-Oct-2023 22:00:00;0.93
28-Oct-2023 23:00:00;1.94
29-Oct-2023 00:00:00;3.21
29-Oct-2023 01:00:00;4.31
29-Oct-2023 02:00:00;5.06
29-Oct-2023 03:00:00;5.47
29-Oct-2023 04:00:00;5.46
29-Oct-2023 05:00:00;4.98
29-Oct-2023 06:00:00;4.09
29-Oct-2023 07:00:00;2.9
29-Oct-2023 08:00:00;1.68
29-Oct-2023 09:00:00;0.82
29-Oct-2023 10:00:00;0.73
29-Oct-2023 11:00:00;1.52
29-Oct-2023 12:00:00;2.8
29-Oct-2023 13:00:00;4.05
29-Oct-2023 14:00:00;4.98
29-Oct-2023 15:00:00;5.54
29-Oct-2023 16:00:00;5.69
29-Oct-2023 17:00:00;5.33
29-Oct-2023 18:00:00;4.53
29-Oct-2023 19:00:00;3.39
29-Oct-2023 20:00:00;2.11
29-Oct-2023 21:00:00;1.08
29-Oct-2023 22:00:00;0.7
29-Oct-2023 23:00:00;1.23
30-Oct-2023 00:00:00;2.41
30-Oct-2023 01:00:00;3.69
30-Oct-2023 02:00:00;4.67
30-Oct-2023 03:00:00;5.26
30-Oct-2023 04:00:00;5.49
30-Oct-2023 05:00:00;5.29
30-Oct-2023 06:00:00;4.68
30-Oct-2023 07:00:00;3.74
30-Oct-2023 08:00:00;2.56
30-Oct-2023 09:00:00;1.43
30-Oct-2023 10:00:00;0.77
30-Oct-2023 11:00:00;0.94
30-Oct-2023 12:00:00;1.92
30-Oct-2023 13:00:00;3.21
30-Oct-2023 14:00:00;4.35
30-Oct-2023 15:00:00;5.11
30-Oct-2023 16:00:00;5.49
30-Oct-2023 17:00:00;5.45
30-Oct-2023 18:00:00;4.96
30-Oct-2023 19:00:00;4.12
30-Oct-2023 20:00:00;3.02
30-Oct-2023 21:00:00;1.86
30-Oct-2023 22:00:00;1.04
30-Oct-2023 23:00:00;0.96
31-Oct-2023 00:00:00;1.72
31-Oct-2023 01:00:00;2.95
31-Oct-2023 02:00:00;4.11
31-Oct-2023 03:00:00;4.89
31-Oct-2023 04:00:00;5.28
31-Oct-2023 05:00:00;5.32
31-Oct-2023 06:00:00;4.98
31-Oct-2023 07:00:00;4.34
31-Oct-2023 08:00:00;3.41
31-Oct-2023 09:00:00;2.3
31-Oct-2023 10:00:00;1.34
31-Oct-2023 11:00:00;0.93
31-Oct-2023 12:00:00;1.33
31-Oct-2023 13:00:00;2.39
31-Oct-2023 14:00:00;3.59
31-Oct-2023 15:00:00;4.52
31-Oct-2023 16:00:00;5.06
31-Oct-2023 17:00:00;5.25
31-Oct-2023 18:00:00;5.06
31-Oct-2023 19:00:00;4.53
31-Oct-2023 20:00:00;3.74
31-Oct-2023 21:00:00;2.73
31-Oct-2023 22:00:00;1.76
31-Oct-2023 23:00:00;1.21
01-Nov-2023 00:00:00;1.39
01-Nov-2023 01:00:00;2.29
01-Nov-2023 02:00:00;3.44
01-Nov-2023 03:00:00;4.38
01-Nov-2023 04:00:00;4.93
01-Nov-2023 05:00:00;5.13
01-Nov-2023 06:00:00;5.02
01-Nov-2023 07:00:00;4.63
01-Nov-2023 08:00:00;4.01
01-Nov-2023 09:00:00;3.15
01-Nov-2023 10:00:00;2.18
01-Nov-2023 11:00:00;1.43
01-Nov-2023 12:00:00;1.26
01-Nov-2023 13:00:00;1.83
01-Nov-2023 14:00:00;2.85
01-Nov-2023 15:00:00;3.84
01-Nov-2023 16:00:00;4.53
01-Nov-2023 17:00:00;4.86
01-Nov-2023 18:00:00;4.89
01-Nov-2023 19:00:00;4.62
01-Nov-2023 20:00:00;4.13
01-Nov-2023 21:00:00;3.43
01-Nov-2023 22:00:00;2.57
01-Nov-2023 23:00:00;1.82
