Time;z
24-Oct-2023 00:00:00;4.75
24-Oct-2023 01:00:00;4.6
24-Oct-2023 02:00:00;4.11
24-Oct-2023 03:00:00;3.42
24-Oct-2023 04:00:00;2.73
24-Oct-2023 05:00:00;2.3
24-Oct-2023 06:00:00;2.32
24-Oct-2023 07:00:00;2.74
24-Oct-2023 08:00:00;3.31
24-Oct-2023 09:00:00;3.91
24-Oct-2023 10:00:00;4.46
24-Oct-2023 11:00:00;4.88
24-Oct-2023 12:00:00;5.14
24-Oct-2023 13:00:00;5.07
24-Oct-2023 14:00:00;4.62
24-Oct-2023 15:00:00;3.85
24-Oct-2023 16:00:00;2.96
24-Oct-2023 17:00:00;2.21
24-Oct-2023 18:00:00;1.87
24-Oct-2023 19:00:00;2.06
24-Oct-2023 20:00:00;2.6
24-Oct-2023 21:00:00;3.27
24-Oct-2023 22:00:00;3.94
24-Oct-2023 23:00:00;4.51
25-Oct-2023 00:00:00;4.93
25-Oct-2023 01:00:00;5.1
25-Oct-2023 02:00:00;4.89
25-Oct-2023 03:00:00;4.3
25-Oct-2023 04:00:00;3.45
25-Oct-2023 05:00:00;2.56
25-Oct-2023 06:00:00;1.95
25-Oct-2023 07:00:00;1.86
25-Oct-2023 08:00:00;2.31
25-Oct-2023 09:00:00;3.07
25-Oct-2023 10:00:00;3.93
25-Oct-2023 11:00:00;4.67
25-Oct-2023 12:00:00;5.24
25-Oct-2023 13:00:00;5.52
25-Oct-2023 14:00:00;5.39
25-Oct-2023 15:00:00;4.83
25-Oct-2023 16:00:00;3.91
25-Oct-2023 17:00:00;2.82
25-Oct-2023 18:00:00;1.88
25-Oct-2023 19:00:00;1.42
25-Oct-2023 20:00:00;1.62
25-Oct-2023 21:00:00;2.34
25-Oct-2023 22:00:00;3.28
25-Oct-2023 23:00:00;4.16
26-Oct-2023 00:00:00;4.87
26-Oct-2023 01:00:00;5.33
26-Oct-2023 02:00:00;5.41
26-Oct-2023 03:00:00;5.08
26-Oct-2023 04:00:00;4.34
26-Oct-2023 05:00:00;3.3
26-Oct-2023 06:00:00;2.24
26-Oct-2023 07:00:00;1.5
26-Oct-2023 08:00:00;1.41
26-Oct-2023 09:00:00;2.01
26-Oct-2023 10:00:00;3.03
26-Oct-2023 11:00:00;4.12
26-Oct-2023 12:00:00;5.02
26-Oct-2023 13:00:00;5.66
26-Oct-2023 14:00:00;5.86
26-Oct-2023 15:00:00;5.59
26-Oct-2023 16:00:00;4.89
26-Oct-2023 17:00:00;3.77
26-Oct-2023 18:00:00;2.52
26-Oct-2023 19:00:00;1.47
26-Oct-2023 20:00:00;0.99
26-Oct-2023 21:00:00;1.34
26-Oct-2023 22:00:00;2.31
26-Oct-2023 23:00:00;3.5
27-Oct-2023 00:00:00;4.53
27-Oct-2023 01:00:00;5.31
27-Oct-2023 02:00:00;5.68
27-Oct-2023 03:00:00;5.59
27-Oct-2023 04:00:00;5.11
27-Oct-2023 05:00:00;4.19
27-Oct-2023 06:00:00;3
27-Oct-2023 07:00:00;1.83
27-Oct-2023 08:00:00;1.06
27-Oct-2023 09:00:00;1.08
27-Oct-2023 10:00:00;1.92
27-Oct-2023 11:00:00;3.2
27-Oct-2023 12:00:00;4.44
27-Oct-2023 13:00:00;5.43
27-Oct-2023 14:00:00;6.02
27-Oct-2023 15:00:00;6.04
27-Oct-2023 16:00:00;5.61
27-Oct-2023 17:00:00;4.75
27-Oct-2023 18:00:00;3.47
27-Oct-2023 19:00:00;2.14
27-Oct-2023 20:00:00;1.07
27-Oct-2023 21:00:00;0.72
27-Oct-2023 22:00:00;1.31
27-Oct-2023 23:00:00;2.54
28-Oct-2023 00:00:00;3.89
28-Oct-2023 01:00:00;4.98
28-Oct-2023 02:00:00;5.71
28-Oct-2023 03:00:00;5.89
28-Oct-2023 04:00:00;5.6
28-Oct-2023 05:00:00;4.97
28-Oct-2023 06:00:00;3.9
28-Oct-2023 07:00:00;2.62
28-Oct-2023 08:00:00;1.42
28-Oct-2023 09:00:00;0.73
28-Oct-2023 10:00:00;0.97
28-Oct-2023 11:00:00;2.07
28-Oct-2023 12:00:00;3.52
28-Oct-2023 13:00:00;4.84
28-Oct-2023 14:00:00;5.81
28-Oct-2023 15:00:00;6.22
28-Oct-2023 16:00:00;6.02
28-Oct-2023 17:00:00;5.45
28-Oct-2023 18:00:00;4.43
28-Oct-2023 19:00:00;3.08
28-Oct-2023 20:00:00;1.75
28-Oct-2023 21:00:00;0.78
28-Oct-2023 22:00:00;0.67
28-Oct-2023 23:00:00;1.54
29-Oct-2023 00:00:00;2.97
29-Oct-2023 01:00:00;4.36
29-Oct-2023 02:00:00;5.42
29-Oct-2023 03:00:00;5.97
29-Oct-2023 04:00:00;5.89
29-Oct-2023 05:00:00;5.44
29-Oct-2023 06:00:00;4.69
29-Oct-2023 07:00:00;3.52
29-Oct-2023 08:00:00;2.23
29-Oct-2023 09:00:00;1.1
29-Oct-2023 10:00:00;0.61
29-Oct-2023 11:00:00;1.11
29-Oct-2023 12:00:00;2.42
29-Oct-2023 13:00:00;3.95
29-Oct-2023 14:00:00;5.22
29-Oct-2023 15:00:00;6.05
29-Oct-2023 16:00:00;6.18
29-Oct-2023 17:00:00;5.79
29-Oct-2023 18:00:00;5.12
29-Oct-2023 19:00:00;4.01
29-Oct-2023 20:00:00;2.68
29-Oct-2023 21:00:00;1.45
29-Oct-2023 22:00:00;0.7
29-Oct-2023 23:00:00;0.89
30-Oct-2023 00:00:00;1.99
30-Oct-2023 01:00:00;3.51
30-Oct-2023 02:00:00;4.84
30-Oct-2023 03:00:00;5.75
30-Oct-2023 04:00:00;6.01
30-Oct-2023 05:00:00;5.69
30-Oct-2023 06:00:00;5.17
30-Oct-2023 07:00:00;4.33
30-Oct-2023 08:00:00;3.15
30-Oct-2023 09:00:00;1.91
30-Oct-2023 10:00:00;0.94
30-Oct-2023 11:00:00;0.72
30-Oct-2023 12:00:00;1.48
30-Oct-2023 13:00:00;2.9
30-Oct-2023 14:00:00;4.37
30-Oct-2023 15:00:00;5.51
30-Oct-2023 16:00:00;6.06
30-Oct-2023 17:00:00;5.89
30-Oct-2023 18:00:00;5.41
30-Oct-2023 19:00:00;4.69
30-Oct-2023 20:00:00;3.59
30-Oct-2023 21:00:00;2.35
30-Oct-2023 22:00:00;1.3
30-Oct-2023 23:00:00;0.85
31-Oct-2023 00:00:00;1.34
31-Oct-2023 01:00:00;2.6
31-Oct-2023 02:00:00;4.06
31-Oct-2023 03:00:00;5.22
31-Oct-2023 04:00:00;5.86
31-Oct-2023 05:00:00;5.8
31-Oct-2023 06:00:00;5.36
31-Oct-2023 07:00:00;4.83
31-Oct-2023 08:00:00;3.97
31-Oct-2023 09:00:00;2.84
31-Oct-2023 10:00:00;1.73
31-Oct-2023 11:00:00;0.99
31-Oct-2023 12:00:00;1.06
31-Oct-2023 13:00:00;2
31-Oct-2023 14:00:00;3.41
31-Oct-2023 15:00:00;4.72
31-Oct-2023 16:00:00;5.6
31-Oct-2023 17:00:00;5.8
31-Oct-2023 18:00:00;5.46
31-Oct-2023 19:00:00;4.98
31-Oct-2023 20:00:00;4.26
31-Oct-2023 21:00:00;3.24
31-Oct-2023 22:00:00;2.16
31-Oct-2023 23:00:00;1.35
01-Nov-2023 00:00:00;1.21
01-Nov-2023 01:00:00;1.92
01-Nov-2023 02:00:00;3.21
01-Nov-2023 03:00:00;4.51
01-Nov-2023 04:00:00;5.42
01-Nov-2023 05:00:00;5.72
01-Nov-2023 06:00:00;5.43
01-Nov-2023 07:00:00;5
01-Nov-2023 08:00:00;4.49
01-Nov-2023 09:00:00;3.67
01-Nov-2023 10:00:00;2.65
01-Nov-2023 11:00:00;1.72
01-Nov-2023 12:00:00;1.25
01-Nov-2023 13:00:00;1.54
01-Nov-2023 14:00:00;2.56
01-Nov-2023 15:00:00;3.85
01-Nov-2023 16:00:00;4.89
01-Nov-2023 17:00:00;5.44
01-Nov-2023 18:00:00;5.36
01-Nov-2023 19:00:00;4.98
01-Nov-2023 20:00:00;4.56
01-Nov-2023 21:00:00;3.91
01-Nov-2023 22:00:00;3.02
01-Nov-2023 23:00:00;2.14
