Time;z
23-Dec-1999 00:00:00;2.81
23-Dec-1999 01:00:00;4.04
23-Dec-1999 02:00:00;4.97
23-Dec-1999 03:00:00;5.57
23-Dec-1999 04:00:00;5.66
23-Dec-1999 05:00:00;5.27
23-Dec-1999 06:00:00;4.55
23-Dec-1999 07:00:00;3.52
23-Dec-1999 08:00:00;2.28
23-Dec-1999 09:00:00;1.08
23-Dec-1999 10:00:00;0.42
23-Dec-1999 11:00:00;0.81
23-Dec-1999 12:00:00;2.05
23-Dec-1999 13:00:00;3.39
23-Dec-1999 14:00:00;4.47
23-Dec-1999 15:00:00;5.28
23-Dec-1999 16:00:00;5.63
23-Dec-1999 17:00:00;5.44
23-Dec-1999 18:00:00;4.84
23-Dec-1999 19:00:00;3.94
23-Dec-1999 20:00:00;2.76
23-Dec-1999 21:00:00;1.5
23-Dec-1999 22:00:00;0.58
23-Dec-1999 23:00:00;0.58
24-Dec-1999 00:00:00;1.64
24-Dec-1999 01:00:00;3.08
24-Dec-1999 02:00:00;4.28
24-Dec-1999 03:00:00;5.18
24-Dec-1999 04:00:00;5.68
24-Dec-1999 05:00:00;5.63
24-Dec-1999 06:00:00;5.17
24-Dec-1999 07:00:00;4.41
24-Dec-1999 08:00:00;3.36
24-Dec-1999 09:00:00;2.1
24-Dec-1999 10:00:00;0.91
24-Dec-1999 11:00:00;0.37
24-Dec-1999 12:00:00;0.95
24-Dec-1999 13:00:00;2.27
24-Dec-1999 14:00:00;3.57
24-Dec-1999 15:00:00;4.6
24-Dec-1999 16:00:00;5.32
24-Dec-1999 17:00:00;5.54
24-Dec-1999 18:00:00;5.25
24-Dec-1999 19:00:00;4.64
24-Dec-1999 20:00:00;3.72
24-Dec-1999 21:00:00;2.55
24-Dec-1999 22:00:00;1.34
24-Dec-1999 23:00:00;0.55
25-Dec-1999 00:00:00;0.78
25-Dec-1999 01:00:00;1.97
25-Dec-1999 02:00:00;3.36
25-Dec-1999 03:00:00;4.47
25-Dec-1999 04:00:00;5.27
25-Dec-1999 05:00:00;5.63
25-Dec-1999 06:00:00;5.48
25-Dec-1999 07:00:00;5
25-Dec-1999 08:00:00;4.25
25-Dec-1999 09:00:00;3.19
25-Dec-1999 10:00:00;1.94
25-Dec-1999 11:00:00;0.83
25-Dec-1999 12:00:00;0.5
25-Dec-1999 13:00:00;1.25
25-Dec-1999 14:00:00;2.54
25-Dec-1999 15:00:00;3.72
25-Dec-1999 16:00:00;4.64
25-Dec-1999 17:00:00;5.23
