Time;z
23-Dec-1999 00:00:00;3.16
23-Dec-1999 01:00:00;4.26
23-Dec-1999 02:00:00;5.04
23-Dec-1999 03:00:00;5.53
23-Dec-1999 04:00:00;5.65
23-Dec-1999 05:00:00;5.26
23-Dec-1999 06:00:00;4.4
23-Dec-1999 07:00:00;3.18
23-Dec-1999 08:00:00;1.86
23-Dec-1999 09:00:00;0.86
23-Dec-1999 10:00:00;0.6
23-Dec-1999 11:00:00;1.22
23-Dec-1999 12:00:00;2.4
23-Dec-1999 13:00:00;3.62
23-Dec-1999 14:00:00;4.6
23-Dec-1999 15:00:00;5.28
23-Dec-1999 16:00:00;5.63
23-Dec-1999 17:00:00;5.49
23-Dec-1999 18:00:00;4.81
23-Dec-1999 19:00:00;3.69
23-Dec-1999 20:00:00;2.35
23-Dec-1999 21:00:00;1.18
23-Dec-1999 22:00:00;0.63
23-Dec-1999 23:00:00;1.01
24-Dec-1999 00:00:00;2.13
24-Dec-1999 01:00:00;3.43
24-Dec-1999 02:00:00;4.49
24-Dec-1999 03:00:00;5.21
24-Dec-1999 04:00:00;5.63
24-Dec-1999 05:00:00;5.65
24-Dec-1999 06:00:00;5.18
24-Dec-1999 07:00:00;4.27
24-Dec-1999 08:00:00;2.99
24-Dec-1999 09:00:00;1.65
24-Dec-1999 10:00:00;0.71
24-Dec-1999 11:00:00;0.58
24-Dec-1999 12:00:00;1.35
24-Dec-1999 13:00:00;2.59
24-Dec-1999 14:00:00;3.8
24-Dec-1999 15:00:00;4.7
24-Dec-1999 16:00:00;5.31
24-Dec-1999 17:00:00;5.57
24-Dec-1999 18:00:00;5.32
24-Dec-1999 19:00:00;4.61
24-Dec-1999 20:00:00;3.48
24-Dec-1999 21:00:00;2.15
24-Dec-1999 22:00:00;1.08
24-Dec-1999 23:00:00;0.69
25-Dec-1999 00:00:00;1.23
25-Dec-1999 01:00:00;2.42
25-Dec-1999 02:00:00;3.68
25-Dec-1999 03:00:00;4.65
25-Dec-1999 04:00:00;5.26
25-Dec-1999 05:00:00;5.59
25-Dec-1999 06:00:00;5.52
25-Dec-1999 07:00:00;5.02
25-Dec-1999 08:00:00;4.1
25-Dec-1999 09:00:00;2.82
25-Dec-1999 10:00:00;1.54
25-Dec-1999 11:00:00;0.71
25-Dec-1999 12:00:00;0.73
25-Dec-1999 13:00:00;1.61
25-Dec-1999 14:00:00;2.83
25-Dec-1999 15:00:00;3.94
25-Dec-1999 16:00:00;4.72
25-Dec-1999 17:00:00;5.21
25-Dec-1999 18:00:00;5.36
25-Dec-1999 19:00:00;5.07
25-Dec-1999 20:00:00;4.37
25-Dec-1999 21:00:00;3.28
25-Dec-1999 22:00:00;2.04
25-Dec-1999 23:00:00;1.1
26-Dec-1999 00:00:00;0.88
26-Dec-1999 01:00:00;1.55
26-Dec-1999 02:00:00;2.73
26-Dec-1999 03:00:00;3.88
26-Dec-1999 04:00:00;4.69
26-Dec-1999 05:00:00;5.19
26-Dec-1999 06:00:00;5.42
26-Dec-1999 07:00:00;5.29
26-Dec-1999 08:00:00;4.81
26-Dec-1999 09:00:00;3.92
26-Dec-1999 10:00:00;2.7
26-Dec-1999 11:00:00;1.53
26-Dec-1999 12:00:00;0.85
26-Dec-1999 13:00:00;1.02
26-Dec-1999 14:00:00;1.93
26-Dec-1999 15:00:00;3.07
26-Dec-1999 16:00:00;4.02
26-Dec-1999 17:00:00;4.64
26-Dec-1999 18:00:00;5
26-Dec-1999 19:00:00;5.06
26-Dec-1999 20:00:00;4.77
26-Dec-1999 21:00:00;4.13
26-Dec-1999 22:00:00;3.13
26-Dec-1999 23:00:00;2.03
27-Dec-1999 00:00:00;1.25
27-Dec-1999 01:00:00;1.18
27-Dec-1999 02:00:00;1.9
27-Dec-1999 03:00:00;3
27-Dec-1999 04:00:00;4
27-Dec-1999 05:00:00;4.64
27-Dec-1999 06:00:00;5.01
27-Dec-1999 07:00:00;5.15
27-Dec-1999 08:00:00;5.02
27-Dec-1999 09:00:00;4.58
27-Dec-1999 10:00:00;3.76
27-Dec-1999 11:00:00;2.66
27-Dec-1999 12:00:00;1.63
27-Dec-1999 13:00:00;1.11
27-Dec-1999 14:00:00;1.38
27-Dec-1999 15:00:00;2.26
27-Dec-1999 16:00:00;3.26
27-Dec-1999 17:00:00;4.02
27-Dec-1999 18:00:00;4.48
27-Dec-1999 19:00:00;4.73
27-Dec-1999 20:00:00;4.74
27-Dec-1999 21:00:00;4.5
27-Dec-1999 22:00:00;3.94
27-Dec-1999 23:00:00;3.06
28-Dec-1999 00:00:00;2.11
28-Dec-1999 01:00:00;1.48
28-Dec-1999 02:00:00;1.52
28-Dec-1999 03:00:00;2.22
28-Dec-1999 04:00:00;3.19
28-Dec-1999 05:00:00;4.01
28-Dec-1999 06:00:00;4.5
28-Dec-1999 07:00:00;4.77
28-Dec-1999 08:00:00;4.86
28-Dec-1999 09:00:00;4.74
28-Dec-1999 10:00:00;4.37
28-Dec-1999 11:00:00;3.65
28-Dec-1999 12:00:00;2.68
28-Dec-1999 13:00:00;1.82
28-Dec-1999 14:00:00;1.43
28-Dec-1999 15:00:00;1.74
28-Dec-1999 16:00:00;2.52
28-Dec-1999 17:00:00;3.35
28-Dec-1999 18:00:00;3.94
28-Dec-1999 19:00:00;4.29
28-Dec-1999 20:00:00;4.46
28-Dec-1999 21:00:00;4.47
28-Dec-1999 22:00:00;4.29
28-Dec-1999 23:00:00;3.82
29-Dec-1999 00:00:00;3.07
29-Dec-1999 01:00:00;2.26
29-Dec-1999 02:00:00;1.75
29-Dec-1999 03:00:00;1.83
29-Dec-1999 04:00:00;2.45
29-Dec-1999 05:00:00;3.27
29-Dec-1999 06:00:00;3.93
29-Dec-1999 07:00:00;4.32
29-Dec-1999 08:00:00;4.52
29-Dec-1999 09:00:00;4.59
29-Dec-1999 10:00:00;4.52
29-Dec-1999 11:00:00;4.22
29-Dec-1999 12:00:00;3.6
29-Dec-1999 13:00:00;2.78
29-Dec-1999 14:00:00;2.04
29-Dec-1999 15:00:00;1.74
29-Dec-1999 16:00:00;2.02
29-Dec-1999 17:00:00;2.68
29-Dec-1999 18:00:00;3.35
29-Dec-1999 19:00:00;3.83
29-Dec-1999 20:00:00;4.11
29-Dec-1999 21:00:00;4.26
29-Dec-1999 22:00:00;4.3
29-Dec-1999 23:00:00;4.18
30-Dec-1999 00:00:00;3.79
30-Dec-1999 01:00:00;3.14
30-Dec-1999 02:00:00;2.43
30-Dec-1999 03:00:00;1.99
30-Dec-1999 04:00:00;2.05
30-Dec-1999 05:00:00;2.57
30-Dec-1999 06:00:00;3.24
30-Dec-1999 07:00:00;3.79
30-Dec-1999 08:00:00;4.13
30-Dec-1999 09:00:00;4.31
30-Dec-1999 10:00:00;4.4
30-Dec-1999 11:00:00;4.38
30-Dec-1999 12:00:00;4.13
30-Dec-1999 13:00:00;3.61
30-Dec-1999 14:00:00;2.89
30-Dec-1999 15:00:00;2.24
30-Dec-1999 16:00:00;1.96
30-Dec-1999 17:00:00;2.18
