Time;z
30-Dec-1999 00:00:00;4.3
30-Dec-1999 01:00:00;3.66
30-Dec-1999 02:00:00;2.86
30-Dec-1999 03:00:00;2.2
30-Dec-1999 04:00:00;2.02
30-Dec-1999 05:00:00;2.47
30-Dec-1999 06:00:00;3.33
30-Dec-1999 07:00:00;4.15
30-Dec-1999 08:00:00;4.64
30-Dec-1999 09:00:00;4.77
30-Dec-1999 10:00:00;4.74
30-Dec-1999 11:00:00;4.71
30-Dec-1999 12:00:00;4.58
30-Dec-1999 13:00:00;4.12
30-Dec-1999 14:00:00;3.37
30-Dec-1999 15:00:00;2.59
30-Dec-1999 16:00:00;2.08
30-Dec-1999 17:00:00;2.12
30-Dec-1999 18:00:00;2.71
30-Dec-1999 19:00:00;3.51
30-Dec-1999 20:00:00;4.15
30-Dec-1999 21:00:00;4.46
30-Dec-1999 22:00:00;4.56
30-Dec-1999 23:00:00;4.59
31-Dec-1999 00:00:00;4.57
31-Dec-1999 01:00:00;4.31
31-Dec-1999 02:00:00;3.72
31-Dec-1999 03:00:00;2.99
31-Dec-1999 04:00:00;2.37
31-Dec-1999 05:00:00;2.18
31-Dec-1999 06:00:00;2.55
31-Dec-1999 07:00:00;3.28
31-Dec-1999 08:00:00;4
31-Dec-1999 09:00:00;4.44
31-Dec-1999 10:00:00;4.62
31-Dec-1999 11:00:00;4.66
31-Dec-1999 12:00:00;4.68
31-Dec-1999 13:00:00;4.56
31-Dec-1999 14:00:00;4.13
31-Dec-1999 15:00:00;3.45
31-Dec-1999 16:00:00;2.71
31-Dec-1999 17:00:00;2.2
31-Dec-1999 18:00:00;2.2
31-Dec-1999 19:00:00;2.7
31-Dec-1999 20:00:00;3.43
31-Dec-1999 21:00:00;4.04
31-Dec-1999 22:00:00;4.42
31-Dec-1999 23:00:00;4.61
01-Jan-2000 00:00:00;4.68
01-Jan-2000 01:00:00;4.64
01-Jan-2000 02:00:00;4.34
01-Jan-2000 03:00:00;3.76
01-Jan-2000 04:00:00;3.03
01-Jan-2000 05:00:00;2.42
01-Jan-2000 06:00:00;2.21
01-Jan-2000 07:00:00;2.52
01-Jan-2000 08:00:00;3.18
01-Jan-2000 09:00:00;3.86
01-Jan-2000 10:00:00;4.34
01-Jan-2000 11:00:00;4.61
01-Jan-2000 12:00:00;4.71
01-Jan-2000 13:00:00;4.73
01-Jan-2000 14:00:00;4.57
01-Jan-2000 15:00:00;4.13
01-Jan-2000 16:00:00;3.44
01-Jan-2000 17:00:00;2.69
01-Jan-2000 18:00:00;2.19
01-Jan-2000 19:00:00;2.16
01-Jan-2000 20:00:00;2.64
01-Jan-2000 21:00:00;3.36
01-Jan-2000 22:00:00;4.04
01-Jan-2000 23:00:00;4.53
