Time;z
24-Feb-2010 00:00:00;4.19
24-Feb-2010 01:00:00;3.95
24-Feb-2010 02:00:00;3.47
24-Feb-2010 03:00:00;2.89
24-Feb-2010 04:00:00;2.41
24-Feb-2010 05:00:00;2.2
24-Feb-2010 06:00:00;2.32
24-Feb-2010 07:00:00;2.64
24-Feb-2010 08:00:00;3.02
24-Feb-2010 09:00:00;3.39
24-Feb-2010 10:00:00;3.76
24-Feb-2010 11:00:00;4.08
24-Feb-2010 12:00:00;4.27
24-Feb-2010 13:00:00;4.22
24-Feb-2010 14:00:00;3.86
24-Feb-2010 15:00:00;3.28
24-Feb-2010 16:00:00;2.67
24-Feb-2010 17:00:00;2.26
24-Feb-2010 18:00:00;2.19
24-Feb-2010 19:00:00;2.42
24-Feb-2010 20:00:00;2.84
24-Feb-2010 21:00:00;3.29
24-Feb-2010 22:00:00;3.74
24-Feb-2010 23:00:00;4.14
25-Feb-2010 00:00:00;4.43
25-Feb-2010 01:00:00;4.52
25-Feb-2010 02:00:00;4.28
25-Feb-2010 03:00:00;3.72
25-Feb-2010 04:00:00;3
25-Feb-2010 05:00:00;2.33
25-Feb-2010 06:00:00;1.94
25-Feb-2010 07:00:00;1.92
25-Feb-2010 08:00:00;2.23
25-Feb-2010 09:00:00;2.72
25-Feb-2010 10:00:00;3.28
25-Feb-2010 11:00:00;3.83
25-Feb-2010 12:00:00;4.31
25-Feb-2010 13:00:00;4.6
25-Feb-2010 14:00:00;4.56
25-Feb-2010 15:00:00;4.13
25-Feb-2010 16:00:00;3.41
25-Feb-2010 17:00:00;2.61
25-Feb-2010 18:00:00;2
25-Feb-2010 19:00:00;1.78
25-Feb-2010 20:00:00;2.01
25-Feb-2010 21:00:00;2.56
25-Feb-2010 22:00:00;3.22
25-Feb-2010 23:00:00;3.87
26-Feb-2010 00:00:00;4.43
26-Feb-2010 01:00:00;4.82
26-Feb-2010 02:00:00;4.91
26-Feb-2010 03:00:00;4.59
26-Feb-2010 04:00:00;3.88
26-Feb-2010 05:00:00;2.96
26-Feb-2010 06:00:00;2.08
26-Feb-2010 07:00:00;1.5
26-Feb-2010 08:00:00;1.43
26-Feb-2010 09:00:00;1.85
26-Feb-2010 10:00:00;2.56
26-Feb-2010 11:00:00;3.35
26-Feb-2010 12:00:00;4.08
26-Feb-2010 13:00:00;4.67
26-Feb-2010 14:00:00;4.99
26-Feb-2010 15:00:00;4.88
26-Feb-2010 16:00:00;4.29
26-Feb-2010 17:00:00;3.37
26-Feb-2010 18:00:00;2.36
26-Feb-2010 19:00:00;1.57
26-Feb-2010 20:00:00;1.29
26-Feb-2010 21:00:00;1.63
26-Feb-2010 22:00:00;2.41
26-Feb-2010 23:00:00;3.32
27-Feb-2010 00:00:00;4.16
27-Feb-2010 01:00:00;4.83
27-Feb-2010 02:00:00;5.25
27-Feb-2010 03:00:00;5.28
27-Feb-2010 04:00:00;4.8
27-Feb-2010 05:00:00;3.9
27-Feb-2010 06:00:00;2.75
27-Feb-2010 07:00:00;1.67
27-Feb-2010 08:00:00;1
27-Feb-2010 09:00:00;0.99
27-Feb-2010 10:00:00;1.62
27-Feb-2010 11:00:00;2.59
27-Feb-2010 12:00:00;3.6
27-Feb-2010 13:00:00;4.45
27-Feb-2010 14:00:00;5.09
27-Feb-2010 15:00:00;5.35
27-Feb-2010 16:00:00;5.08
27-Feb-2010 17:00:00;4.29
27-Feb-2010 18:00:00;3.15
27-Feb-2010 19:00:00;1.96
27-Feb-2010 20:00:00;1.08
27-Feb-2010 21:00:00;0.85
27-Feb-2010 22:00:00;1.4
27-Feb-2010 23:00:00;2.45
28-Feb-2010 00:00:00;3.58
28-Feb-2010 01:00:00;4.55
28-Feb-2010 02:00:00;5.25
28-Feb-2010 03:00:00;5.63
28-Feb-2010 04:00:00;5.52
28-Feb-2010 05:00:00;4.85
28-Feb-2010 06:00:00;3.75
28-Feb-2010 07:00:00;2.42
28-Feb-2010 08:00:00;1.22
28-Feb-2010 09:00:00;0.55
28-Feb-2010 10:00:00;0.71
28-Feb-2010 11:00:00;1.62
28-Feb-2010 12:00:00;2.83
28-Feb-2010 13:00:00;3.97
28-Feb-2010 14:00:00;4.87
28-Feb-2010 15:00:00;5.45
28-Feb-2010 16:00:00;5.57
28-Feb-2010 17:00:00;5.1
28-Feb-2010 18:00:00;4.11
28-Feb-2010 19:00:00;2.81
28-Feb-2010 20:00:00;1.51
28-Feb-2010 21:00:00;0.62
28-Feb-2010 22:00:00;0.56
28-Feb-2010 23:00:00;1.38
01-Mar-2010 00:00:00;2.67
01-Mar-2010 01:00:00;3.94
01-Mar-2010 02:00:00;4.93
01-Mar-2010 03:00:00;5.6
01-Mar-2010 04:00:00;5.86
01-Mar-2010 05:00:00;5.57
01-Mar-2010 06:00:00;4.72
01-Mar-2010 07:00:00;3.46
01-Mar-2010 08:00:00;2.03
01-Mar-2010 09:00:00;0.81
01-Mar-2010 10:00:00;0.27
01-Mar-2010 11:00:00;0.7
01-Mar-2010 12:00:00;1.86
01-Mar-2010 13:00:00;3.22
01-Mar-2010 14:00:00;4.38
01-Mar-2010 15:00:00;5.21
01-Mar-2010 16:00:00;5.67
01-Mar-2010 17:00:00;5.59
01-Mar-2010 18:00:00;4.92
01-Mar-2010 19:00:00;3.8
01-Mar-2010 20:00:00;2.4
01-Mar-2010 21:00:00;1.09
01-Mar-2010 22:00:00;0.33
01-Mar-2010 23:00:00;0.52
02-Mar-2010 00:00:00;1.59
02-Mar-2010 01:00:00;3.02
02-Mar-2010 02:00:00;4.31
02-Mar-2010 03:00:00;5.23
02-Mar-2010 04:00:00;5.78
02-Mar-2010 05:00:00;5.87
02-Mar-2010 06:00:00;5.39
02-Mar-2010 07:00:00;4.43
02-Mar-2010 08:00:00;3.1
02-Mar-2010 09:00:00;1.66
02-Mar-2010 10:00:00;0.56
02-Mar-2010 11:00:00;0.26
02-Mar-2010 12:00:00;0.96
02-Mar-2010 13:00:00;2.3
02-Mar-2010 14:00:00;3.67
02-Mar-2010 15:00:00;4.73
02-Mar-2010 16:00:00;5.41
02-Mar-2010 17:00:00;5.67
02-Mar-2010 18:00:00;5.38
02-Mar-2010 19:00:00;4.59
02-Mar-2010 20:00:00;3.42
02-Mar-2010 21:00:00;2.03
