Time;z
24-Feb-2010 00:00:00;4.56
24-Feb-2010 01:00:00;4.41
24-Feb-2010 02:00:00;3.96
24-Feb-2010 03:00:00;3.35
24-Feb-2010 04:00:00;2.71
24-Feb-2010 05:00:00;2.3
24-Feb-2010 06:00:00;2.33
24-Feb-2010 07:00:00;2.73
24-Feb-2010 08:00:00;3.24
24-Feb-2010 09:00:00;3.68
24-Feb-2010 10:00:00;4.07
24-Feb-2010 11:00:00;4.39
24-Feb-2010 12:00:00;4.62
24-Feb-2010 13:00:00;4.65
24-Feb-2010 14:00:00;4.35
24-Feb-2010 15:00:00;3.77
24-Feb-2010 16:00:00;3.07
24-Feb-2010 17:00:00;2.45
24-Feb-2010 18:00:00;2.2
24-Feb-2010 19:00:00;2.44
24-Feb-2010 20:00:00;2.96
24-Feb-2010 21:00:00;3.52
24-Feb-2010 22:00:00;4.03
24-Feb-2010 23:00:00;4.46
25-Feb-2010 00:00:00;4.78
25-Feb-2010 01:00:00;4.94
25-Feb-2010 02:00:00;4.77
25-Feb-2010 03:00:00;4.27
25-Feb-2010 04:00:00;3.51
25-Feb-2010 05:00:00;2.68
25-Feb-2010 06:00:00;2.06
25-Feb-2010 07:00:00;1.92
25-Feb-2010 08:00:00;2.25
25-Feb-2010 09:00:00;2.82
25-Feb-2010 10:00:00;3.48
25-Feb-2010 11:00:00;4.11
25-Feb-2010 12:00:00;4.63
25-Feb-2010 13:00:00;4.99
25-Feb-2010 14:00:00;5.03
25-Feb-2010 15:00:00;4.67
25-Feb-2010 16:00:00;3.97
25-Feb-2010 17:00:00;3.05
25-Feb-2010 18:00:00;2.22
25-Feb-2010 19:00:00;1.79
25-Feb-2010 20:00:00;1.94
25-Feb-2010 21:00:00;2.54
25-Feb-2010 22:00:00;3.33
25-Feb-2010 23:00:00;4.12
26-Feb-2010 00:00:00;4.76
26-Feb-2010 01:00:00;5.21
26-Feb-2010 02:00:00;5.38
26-Feb-2010 03:00:00;5.13
26-Feb-2010 04:00:00;4.5
26-Feb-2010 05:00:00;3.53
26-Feb-2010 06:00:00;2.47
26-Feb-2010 07:00:00;1.65
26-Feb-2010 08:00:00;1.38
26-Feb-2010 09:00:00;1.75
26-Feb-2010 10:00:00;2.54
26-Feb-2010 11:00:00;3.49
26-Feb-2010 12:00:00;4.35
26-Feb-2010 13:00:00;5.04
26-Feb-2010 14:00:00;5.44
26-Feb-2010 15:00:00;5.39
26-Feb-2010 16:00:00;4.91
26-Feb-2010 17:00:00;4
26-Feb-2010 18:00:00;2.86
26-Feb-2010 19:00:00;1.83
26-Feb-2010 20:00:00;1.27
26-Feb-2010 21:00:00;1.45
26-Feb-2010 22:00:00;2.26
26-Feb-2010 23:00:00;3.35
27-Feb-2010 00:00:00;4.38
27-Feb-2010 01:00:00;5.18
27-Feb-2010 02:00:00;5.71
27-Feb-2010 03:00:00;5.78
27-Feb-2010 04:00:00;5.4
27-Feb-2010 05:00:00;4.58
27-Feb-2010 06:00:00;3.38
27-Feb-2010 07:00:00;2.12
27-Feb-2010 08:00:00;1.14
27-Feb-2010 09:00:00;0.85
27-Feb-2010 10:00:00;1.39
27-Feb-2010 11:00:00;2.48
27-Feb-2010 12:00:00;3.69
27-Feb-2010 13:00:00;4.73
27-Feb-2010 14:00:00;5.52
27-Feb-2010 15:00:00;5.85
27-Feb-2010 16:00:00;5.64
27-Feb-2010 17:00:00;4.98
27-Feb-2010 18:00:00;3.83
27-Feb-2010 19:00:00;2.5
27-Feb-2010 20:00:00;1.34
27-Feb-2010 21:00:00;0.76
27-Feb-2010 22:00:00;1.09
27-Feb-2010 23:00:00;2.18
28-Feb-2010 00:00:00;3.56
28-Feb-2010 01:00:00;4.76
28-Feb-2010 02:00:00;5.67
28-Feb-2010 03:00:00;6.15
28-Feb-2010 04:00:00;6.04
28-Feb-2010 05:00:00;5.51
28-Feb-2010 06:00:00;4.48
28-Feb-2010 07:00:00;3.08
28-Feb-2010 08:00:00;1.69
28-Feb-2010 09:00:00;0.65
28-Feb-2010 10:00:00;0.48
28-Feb-2010 11:00:00;1.28
28-Feb-2010 12:00:00;2.66
28-Feb-2010 13:00:00;4.06
28-Feb-2010 14:00:00;5.21
28-Feb-2010 15:00:00;5.97
28-Feb-2010 16:00:00;6.09
28-Feb-2010 17:00:00;5.7
28-Feb-2010 18:00:00;4.85
28-Feb-2010 19:00:00;3.51
28-Feb-2010 20:00:00;2.07
28-Feb-2010 21:00:00;0.86
28-Feb-2010 22:00:00;0.39
28-Feb-2010 23:00:00;0.97
01-Mar-2010 00:00:00;2.35
01-Mar-2010 01:00:00;3.92
01-Mar-2010 02:00:00;5.2
01-Mar-2010 03:00:00;6.11
01-Mar-2010 04:00:00;6.4
01-Mar-2010 05:00:00;6.1
01-Mar-2010 06:00:00;5.42
01-Mar-2010 07:00:00;4.21
01-Mar-2010 08:00:00;2.7
01-Mar-2010 09:00:00;1.27
01-Mar-2010 10:00:00;0.31
01-Mar-2010 11:00:00;0.37
01-Mar-2010 12:00:00;1.45
01-Mar-2010 13:00:00;3.05
01-Mar-2010 14:00:00;4.53
01-Mar-2010 15:00:00;5.67
01-Mar-2010 16:00:00;6.24
01-Mar-2010 17:00:00;6.1
01-Mar-2010 18:00:00;5.56
01-Mar-2010 19:00:00;4.54
01-Mar-2010 20:00:00;3.1
01-Mar-2010 21:00:00;1.64
01-Mar-2010 22:00:00;0.51
01-Mar-2010 23:00:00;0.26
02-Mar-2010 00:00:00;1.12
02-Mar-2010 01:00:00;2.72
02-Mar-2010 02:00:00;4.35
02-Mar-2010 03:00:00;5.62
02-Mar-2010 04:00:00;6.38
02-Mar-2010 05:00:00;6.38
02-Mar-2010 06:00:00;5.94
02-Mar-2010 07:00:00;5.15
02-Mar-2010 08:00:00;3.83
02-Mar-2010 09:00:00;2.32
02-Mar-2010 10:00:00;0.94
02-Mar-2010 11:00:00;0.2
02-Mar-2010 12:00:00;0.56
02-Mar-2010 13:00:00;1.89
